"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","Metric"
0.144619147411641,-0.353817246329612,0.0585345152427618,-0.0410476995744571,0.0306150817122595,0.0152214318713913,0.0262704412108761,-0.0129097212208636,0.0240162675602301,0.323709941429182,-0.365973606563664,0.636405163352176,-0.00873773512498095,0.081146611501628,-0.436345379888347,-0.0222080143431916,-0.053970549530199,-0.037832985214514,0.0235117235750907,"CPU_Usage_Percent"
0.159203993986714,-0.36209543104916,-0.0320497183568295,0.0155871520602791,-0.0373171095234372,-0.0557120964927282,0.0488354737213778,0.0407094455661937,0.0307133165133717,-0.301930653843189,0.0289299176288902,-0.446121118635194,0.114898831438197,-0.360429298414264,-0.627785798865807,0.02877073623176,-0.039180260971835,-0.0013775839023601,-0.0466377598953604,"Memory_Usage_GB"
-0.406889939494211,-0.17864343536975,-0.046085338517233,-0.00910894165467126,-0.0249631270678425,0.0219784888741222,0.0128048526493417,-0.0391670921312565,-0.0136438745770451,-0.00795986406529161,0.0242998074481931,-0.0135782778420972,-0.0477397863992157,-0.0359906863489978,0.0749282357629555,-0.00817959628126044,-0.878242675670612,-0.101653113596127,0.0747833600284931,"Disk_IO_Read_Mbps"
-0.40970946909934,-0.183691585518667,0.0122177331222428,0.00690404966052254,0.0129528534818634,0.0099383147184898,0.0174131702078451,0.0320703332350235,-0.00760055872416255,-0.0134976380667191,-0.0661249186349113,-0.043807231738069,0.0347230438267229,0.0325517402887347,0.0241703510662421,-0.0361799548447672,0.296448945912203,-0.802289290915372,-0.233152792364642,"Disk_IO_Write_Mbps"
-0.410968328966446,-0.169383427022182,-0.0139818321329866,0.0105267017799168,-0.0220030078332813,-0.00123018247272202,-0.041415876094144,0.0138760818750084,0.0197675834359344,-0.0231881257440636,0.030031085797316,0.0488698309202125,0.0129234851253465,-0.0118644281272411,-0.0255770909995454,-0.629336968539183,0.140570755121692,0.445792449995785,-0.424238035363372,"Disk_Queue_Depth"
-0.407343828770751,-0.172029653520344,-0.0143318412907516,0.00319684038392383,0.0142647759315972,-0.015528715527862,-0.011695865907943,0.0249353710366771,0.00376653429495351,0.02687492268104,-0.00973593015767518,0.0300189119814406,-0.00361966930794905,0.0465355481060463,-0.0193239880318111,0.767879105935611,0.148675710004904,0.344216409131507,-0.261812565301851,"Temperature_Celsius"
0.0205799980252944,0.00429133086968394,-0.463006288084795,-0.25740483263868,-0.278484989440834,0.305864135933109,-0.225297255977581,0.654231720755113,-0.238509661012405,-0.0156228417613159,-0.0373377415243797,0.0203480644692749,0.0483736331803774,0.0778707547399989,-0.0242306954972324,-0.00104080535044614,-0.00268343277522691,-0.00177344171926605,0.0331620209428415,"Power_Consumption_Watts"
-0.00190651587382425,0.027101521150866,0.49222155152208,0.222609264914973,-0.18032495634337,-0.462654085493561,0.0336014565605268,0.642965075847429,0.179404032002171,-0.0396447203407044,-0.0480836796966913,0.0229852790385536,0.0108843532932398,0.0481086285439368,0.0483524972409835,-0.00347984766228989,-0.0702775443693393,0.00209369859411673,-0.00131129912314385,"Fan_Speed_RPM"
0.00435734277132944,-0.00394479232736708,0.322412917894392,0.390026703420502,0.279961276260913,0.586344294645634,-0.509513601672594,0.10970332845395,0.128747374983026,-0.00322388334722498,-0.111072818270069,-0.0776726758956295,-0.0819045867527014,-0.086684621166201,-0.0102361350970875,0.0108552773237643,-0.0248265776943883,0.00575591345440787,0.00514481541746926,"Process_Count"
0.153578385434873,-0.315528730494456,0.0540902558035652,-0.00812604192549068,0.0239753747376714,0.0116400994863316,-0.117303848064767,-0.0311531934316165,-0.0345669373283904,-0.611228305332014,0.448865063717312,0.348790380199305,-0.251081128502825,0.30365033585642,0.0500048238588604,0.0217309643914137,0.0126145577416737,-0.0454817563770208,-0.0068777567823591,"Network_In_Mbps"
